epoch,train_loss,train_acc,val_loss,val_acc
1,1.4726934396743774,0.46002,1.1149458357810975,0.5998
2,0.9743249196052551,0.65992,0.9164705026626587,0.6822
3,0.7668889848709106,0.73436,0.7116200864791871,0.7562
4,0.6559790480136871,0.7754,0.7003421487808228,0.7632
5,0.5841782260608673,0.79816,0.5237258884191514,0.8242
6,0.5266825504112244,0.8191,0.5277153189659118,0.8236
7,0.47930269381523133,0.8336,0.5440515121221542,0.8218
8,0.4442644492435455,0.84788,0.4831508584141731,0.8392
9,0.4059595521593094,0.8612,0.4458752220392227,0.8513
10,0.3773534046435356,0.87142,0.46135853110551833,0.8471
