epoch,train_loss,train_acc,val_loss,val_acc
1,1.8965343734741211,0.28152,1.6983578378677369,0.3607
2,1.6639935175323486,0.38168,1.5274685836791992,0.4374
3,1.5507902363967896,0.42978,1.4247426460266113,0.4776
4,1.4739601460647582,0.45792,1.3745280641555786,0.4987
5,1.4109569569778442,0.48236,1.3146509870529175,0.5258
6,1.3547005059432984,0.5051,1.2332747507095336,0.5514
7,1.3055328022766113,0.52462,1.1910370244026185,0.5659
8,1.266569384613037,0.54138,1.1707013145446776,0.5786
9,1.237417707901001,0.55188,1.135109679222107,0.5953
10,1.2024524318885803,0.56466,1.124451629638672,0.5987
